Sample#,Sample ID,Dilution,g_per_L,Date and Time,Protein Conc.,Unit,A280,260/280,Sample Type
46,TSA_st_e7C,0.007812500000000000,0.234375000000000000,9/23/2019 12:37:37 PM,0.049,mg/ml,0.049,1.93,1 Abs = 1 mg / mL
47,TSA_st_e6A,0.015625000000000000,0.468750000000000000,9/23/2019 12:38:20 PM,0.113,mg/ml,0.113,1.65,1 Abs = 1 mg / mL
48,TSA_st_e6B,0.015625000000000000,0.468750000000000000,9/23/2019 12:38:55 PM,0.126,mg/ml,0.126,1.51,1 Abs = 1 mg / mL
49,TSA_st_e6C,0.015625000000000000,0.468750000000000000,9/23/2019 12:39:33 PM,0.119,mg/ml,0.119,1.58,1 Abs = 1 mg / mL
50,TSA_st_e5A,0.031250000000000000,0.937500000000000000,9/23/2019 12:40:22 PM,0.247,mg/ml,0.247,1.43,1 Abs = 1 mg / mL
51,TSA_st_e5B,0.031250000000000000,0.937500000000000000,9/23/2019 12:41:08 PM,0.249,mg/ml,0.249,1.43,1 Abs = 1 mg / mL
52,TSA_st_e5C,0.031250000000000000,0.937500000000000000,9/23/2019 12:41:46 PM,0.247,mg/ml,0.247,1.42,1 Abs = 1 mg / mL
53,TSA_st_e4A,0.062500000000000000,1.875000000000000000,9/23/2019 12:42:36 PM,0.514,mg/ml,0.514,1.33,1 Abs = 1 mg / mL
54,TSA_st_e4B,0.062500000000000000,1.875000000000000000,9/23/2019 12:43:13 PM,0.524,mg/ml,0.524,1.3,1 Abs = 1 mg / mL
55,TSA_st_e4C,0.062500000000000000,1.875000000000000000,9/23/2019 12:43:51 PM,0.506,mg/ml,0.506,1.35,1 Abs = 1 mg / mL
56,TSA_st_e3A,0.125000000000000000,3.750000000000000000,9/23/2019 12:44:43 PM,1.035,mg/ml,1.035,1.28,1 Abs = 1 mg / mL
57,TSA_st_e3B,0.125000000000000000,3.750000000000000000,9/23/2019 12:45:17 PM,1.044,mg/ml,1.044,1.28,1 Abs = 1 mg / mL
58,TSA_st_e3C,0.125000000000000000,3.750000000000000000,9/23/2019 12:45:53 PM,1.027,mg/ml,1.027,1.29,1 Abs = 1 mg / mL
59,TSA_st_e2A,0.250000000000000000,7.500000000000000000,9/23/2019 12:46:57 PM,2.059,mg/ml,2.059,1.27,1 Abs = 1 mg / mL
60,TSA_st_e2B,0.250000000000000000,7.500000000000000000,9/23/2019 12:47:33 PM,2.08,mg/ml,2.08,1.26,1 Abs = 1 mg / mL
61,TSA_st_e2C,0.250000000000000000,7.500000000000000000,9/23/2019 12:48:05 PM,2.082,mg/ml,2.082,1.26,1 Abs = 1 mg / mL
62,TSA_st_e1A,0.500000000000000000,15.000000000000000000,9/23/2019 12:48:57 PM,4.031,mg/ml,4.031,1.28,1 Abs = 1 mg / mL
63,TSA_st_e1B,0.500000000000000000,15.000000000000000000,9/23/2019 12:49:42 PM,3.991,mg/ml,3.991,1.27,1 Abs = 1 mg / mL
64,TSA_st_e1C,0.500000000000000000,15.000000000000000000,9/23/2019 12:50:18 PM,3.995,mg/ml,3.995,1.27,1 Abs = 1 mg / mL
65,TSA_st_e0A,1.000000000000000000,30.000000000000000000,9/23/2019 12:51:09 PM,7.631,mg/ml,7.631,1.28,1 Abs = 1 mg / mL
66,TSA_st_e0B,1.000000000000000000,30.000000000000000000,9/23/2019 12:51:45 PM,7.68,mg/ml,7.68,1.27,1 Abs = 1 mg / mL
67,TSA_st_e0C,1.000000000000000000,30.000000000000000000,9/23/2019 12:52:19 PM,7.666,mg/ml,7.666,1.28,1 Abs = 1 mg / mL
68,TSA_st_1A,2.000000000000000000,60.000000000000000000,9/23/2019 12:53:00 PM,15.075,mg/ml,15.075,1.26,1 Abs = 1 mg / mL
69,TSA_st_1B,2.000000000000000000,60.000000000000000000,9/23/2019 12:53:34 PM,15.138,mg/ml,15.138,1.25,1 Abs = 1 mg / mL
70,TSA_st_1C,2.000000000000000000,60.000000000000000000,9/23/2019 12:54:08 PM,15.282,mg/ml,15.282,1.26,1 Abs = 1 mg / mL
71,TSA_st_diH2oA,0.000000000000000000,0.000000000000000000,9/23/2019 12:54:57 PM,-0.009,mg/ml,-0.009,-2.74,1 Abs = 1 mg / mL
