SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	cClean	33B	32E	2H	33D	37E	37H	BTB_45	45D	20A	34F	BTB_47	34B	2E	2F	21C	54G	49C	25C	24D	45E	25A	20C	BTB_59	40B	36G	36A	36E	40A	35B	CV_raw	CV	Bd_n
Non_2020-09-19_1_Rep7	27	1	Rep7	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_1_Rep8	6	1	Rep8	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_1_Rep8	18	1	Rep8	CV	2020-09-19	Non	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_10_Rep7	21	10	Rep7	CV	2020-09-19	Non	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_10_Rep7	23	10	Rep7	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_10_Rep8	2	10	Rep8	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	NA	NA	NA
Non_2020-09-19_10_Rep8	28	10	Rep8	CV	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	NA	NA	NA
Non_2020-09-19_3_Rep7	8	3	Rep7	CV	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_3_Rep7	22	3	Rep7	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_3_Rep8	1	3	Rep8	Bd	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-09-19_3_Rep8	7	3	Rep8	CV	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA
