Predictor	median	lower95	upper95	PD	IsolateID	sig	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	Response
ISO_36A	-0.0441362378039249	-0.492438563632268	0.407532859171664	0.4224	36A	FALSE	Rhodococcus_fascians	0.346666666666667	0	21.88	TRUE	FALSE	Bd_qpcr
ISO_BTB_45	0.00562380345204334	-0.131026134337198	0.139481763043926	0.4673	BTB_45	FALSE	Pseudomonas_protegens	1.62133333333333	9	4.61	TRUE	TRUE	Bd_qpcr
ISO_20C	0.00615356640713698	-0.556196682997788	0.525294982695359	0.4934	20C	FALSE	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	FALSE	Bd_qpcr
ISO_54G	0.0171085002793727	-0.0984794890276852	0.137250596112519	0.3854	54G	FALSE	Serratia_fonticola	0.359333333333333	0	5.18	TRUE	FALSE	Bd_qpcr
ISO_50B	0.0564633786615535	-0.269743848856001	0.35841330409275	0.3625	50B	FALSE	Chryseobacterium_lactis	0.169666666666667	4	72.94	TRUE	TRUE	Bd_qpcr
ISO_34B	0.0672381648988331	-0.317641266080278	0.455697132864442	0.3682	34B	FALSE	Pseudomonas_brenneri	1.12366666666667	3	8.37	TRUE	TRUE	Bd_qpcr
ISO_49C	0.0967651504519745	-0.173114117310308	0.372991232463398	0.2447	49C	FALSE	Hafnia_paralvei	0.224	0	10.21	TRUE	FALSE	Bd_qpcr
ISO_35B	0.0976769768596116	-0.520503382858076	0.70922122872131	0.376	35B	FALSE	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	FALSE	Bd_qpcr
ISO_BTB_47	0.120247457832903	-0.0899675244427344	0.340335079233474	0.1307	BTB_47	FALSE	Delftia_tsuruhatensis	0.427333333333333	6.5	4.36	TRUE	TRUE	Bd_qpcr
ISO_47C	0.139944430358261	-0.198665401175391	0.466759844535805	0.2077	47C	FALSE	Kocuria_rhizophila	1.429	0	18.26	TRUE	FALSE	Bd_qpcr
ISO_25C	0.159059608014275	-0.169959364916096	0.479631340066806	0.1608	25C	FALSE	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	FALSE	Bd_qpcr
ISO_25A	0.196339276758027	-0.0826464614468764	0.461475277899138	0.0801	25A	FALSE	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	FALSE	Bd_qpcr
ISO_35E	0.280888584295949	-0.12069044526881	0.685070231930779	0.0869	35E	FALSE	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	TRUE	Bd_qpcr
