Sample_ID	Isolate_ID	Initials_worker	Date_liq_culture	Past_growth_notes	Current_growth_notes	Dilution	Date_InhibPlate_inoc	Measure_day1	Measure_day2	Measure_day3	Max_inhib_zone	ColonyDescription_InhibPlate	ColonyDescription_Past	Description_match?	Sanger_name
36I	36I	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	0	0	0	"clear, barely white, regular edge"	"Slight pink tint, bulbous growth, fast growth, extremely gelatinous"		"Microvirga subterranea strain FaiI4 16S ribosomal RNA, partial sequence"
37C	37C	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white/clear, smooth, irregular edge"	"Orange, smooth growth, uniform margins, typical structure"		"Sandarakinorhabdus cyanobacteriorum strain TH057 16S ribosomal RNA, partial sequence"
37D	37D	AA	7-20-20		grew	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Green, bulbous growth, irregular margins, very gelatinous"		"Microbacterium aquimaris strain JS54-2 16S ribosomal RNA, partial sequence"
37E	37E	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"5, 6 (green/yellow agar)"	"5, 6 (there are two rings of inhibition on this one, abt 1 mm in difference, on both reps)"	5.5	"yellow, somewhat clear, smooth, irregular edge"	"Green, smooth growth, uniform margins, adhesive structure"		"Microbacterium chocolatum strain DSM 12507 16S ribosomal RNA, partial sequence"
37F	37F	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	" 5 (rep 1 has no lawn yet on some parts of plate, green/yellow agar on both reps though)"	"5 (yellow agar, fuzzy edge)"	5	"yellow/white, milky, clear, smooth"	"Fungal, white, uniform margins and smooth growth throughout the streak (not many fungi have grown as uniformly as this one)"		"Marinobacterium aestuarii strain ST58-10 16S ribosomal RNA, complete sequence"
37H	37H	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"6, 6 (green/yellow agar)"	"5, 5"	5.5	"yellow, smooth, yellow/green agar, irregular edge"	"Grey (dead?), granular growth, irregular margins, adhesive structure"		"Paenibacillus xylanexedens strain B22a 16S ribosomal RNA, partial sequence"
40A	40A	AA	7-20-20		not sure	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Solid orange, uniform margins, smooth growth, gelatinous"		"Microbacterium deminutum strain KV-483 16S ribosomal RNA, partial sequence"
40B	40B	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth, creamish"	"Solid cucumber green, irregular margins, smooth growth, typical structure"		"Georgenia satyanarayanai strain JLT1488 16S ribosomal RNA, partial sequence"
41D	41D	AA	7-20-20		grew	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Yellow, granular growth, uniform margins, typical structure"		"Sanguibacter inulinus strain ST50 16S ribosomal RNA, partial sequence"
45A	45A	AA	7-20-20	Did not grow in liquid culture last time	probably not	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Faint purple color (possibly j. liv), thin uniform margins, typical structure, both granular and smooth growth"		"Erwinia aphidicola strain LMG 24877 16S ribosomal RNA, partial sequence"
45D	45D	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"1, 1"	1	"transparent, white, smooth"	"Transparent, granular growth, irregular margins, typical structure"		"Rahnella inusitata strain DSM 30078 16S ribosomal RNA, partial sequence"
45E	45E	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"whiteish yellow, smooth"	"Transparent, granular growth, regular margins, typical structure"		"Obesumbacterium proteus strain NCIMB 8771 16S ribosomal RNA, partial sequence"
47C	47C	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, transparent"	"Bright yellow, both smooth and granular growth, irregular margins, firm structure"		"Kocuria rhizophila strain TA68 16S ribosomal RNA, partial sequence"
49C	49C	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"milky white, transparent, smooth"	"White, uniform margins, smooth growth, slightly gelatinous"		"Hafnia paralvei strain ATCC 29927 16S ribosomal RNA, partial sequence"
4A	4A	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"3, 3"	"4, 4 (really clear zone of inhibition)"	4	transparent	"Very little growth, some granular strings, very transparent"		"Arthrobacter psychrolactophilus strain B7 16S ribosomal RNA, partial sequence"
50A	50A	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	1	"1, 1 (one lawn is thicker and 50A growing at 2 mm diameter as opposed to 1.5 mm diameter)"	1	"orange, fuzzy/irregular edge, clear"	"Very faint green, irregular margins, spotted growth, liquid structure"		"Delftia acidovorans strain NBRC 14950 16S ribosomal RNA, partial sequence"
50B	50B	MYC	7-30-20		"grew, not green though?"	N	8-2-2020	no Bd lawn yet	3 (uneven lawn on one rep)	"3 (only one rep worked, but very clear zone)"	3	clear	"Faint green, granular growth, uniform margins, typical structure"		"Chryseobacterium lactis strain KC1864 16S ribosomal RNA, partial sequence"
54D	54D	MYC	7-30-20		"grew, slowly, I think correct?"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	clear	"Yellowish white, granular growth, thin margins, typical structure"		"Curvibacter delicatus strain NBRC 14919 16S ribosomal RNA, partial sequence"
54G	54G	MYC	7-30-20		grew; needed to re-streak bc of contam	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"cream, smooth"	"White, smooth growth, uniform margins, typical structure"		"Serratia fonticola strain DSM 4576 16S ribosomal RNA, partial sequence"
54J	54J	MYC	7-30-20	Grows v slowly in liquid	Not growing on plate; going to try swabbing glycerol tube	N	8-2-2020	no Bd lawn yet	failed	failed	NA	clear	"Completely transparent, uniform margins, jagged growth, typical structure"		"Paenibacillus borealis strain KK19 16S ribosomal RNA, partial sequence"
54K	54K	MYC	7-30-20		"gring v slowly, correct"	N	8-2-2020	no Bd lawn yet	failed	failed	NA	clear	"Blotted white, irregular margins, gelatinous"		"Rouxiella chamberiensis strain 130333 16S ribosomal RNA, partial sequence"
BTB_1	BTB_1	MYC	7-30-20		"grew, correct"	N	8-2-2020	no Bd lawn yet	failed	failed	NA	pink	"pink, somewhat transluscent, clear edge"		"Deinococcus seoulensis strain 16F1E 16S ribosomal RNA, partial sequence"
BTB_14	BTB_14	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	orange	"creamy orange, white edge, shiny"		"Exiguobacterium artemiae strain 9AN 16S ribosomal RNA, partial sequence"
BTB_15	BTB_15	MYC	7-30-20		"grew, need to restreak bc there is orange contam"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"yellow, clear, smooth"	"yellow transluscent, clear edge, spreading across whole plate"		"Flavobacterium branchiarum strain 57B-2-09 16S ribosomal RNA, partial sequence"
BTB_18	BTB_18	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, clear, smooth"	"white, small colonies, solid edge, shiny, somewhat clear"		"Bacillus australimaris strain MCCC 1A05787 16S ribosomal RNA, partial sequence"
BTB_22	BTB_22	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	clear yellow	"yellow, opaque, milky, solid edge, individual colonies clear"		"Lysinibacter cavernae strain CC5-806 16S ribosomal RNA, partial sequence"
BTB_28	BTB_28	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, clear, smooth"	"clear, white, individual colonies with clear edge, edges spread irregularly"		"Comamonas piscis strain CN1 16S ribosomal RNA, partial sequence"
BTB_43	BTB_43	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth"	"milky, opque colonies with solid edge, round, shiny"		"Acinetobacter tjernbergiae strain DSM 14971 16S ribosomal RNA, partial sequence"
BTB_44	BTB_44	MYC	7-30-20		"grew, tube cap flew off sometime; starting new liq culture 23jul2020 from plate. Correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, clear, smooth"	"white, clear, grows thickly, does not spread though"		"Acinetobacter beijerinckii strain 58a 16S ribosomal RNA, partial sequence"
BTB_45	BTB_45	MYC	7-30-20		"grew, maybe correct? clear and goopy"	Y	8-2-2020	no Bd lawn yet	"6, 6 (yellow/green agar)"	"8, 10 (yellow agar)"	9	"white/yellow, smooth"	"yellowish solid creamy colony, thick growth"		"Pseudomonas protegens strain CHA0 16S ribosomal RNA, partial sequence"
BTB_47	BTB_47	MYC	7-30-20		"grew, can't tell if it's the right thing"	Y	8-2-2020	no Bd lawn yet	"0, 0"	6-7 mm (fuzzy edge and not totally clear zone so hard to measure; other rep had uneven bd lawn)	6.5	"white, clear, smooth"	"white/cream clear, small colonies with clear edge, turned agar orangey"		"Delftia tsuruhatensis strain NBRC 16741 16S ribosomal RNA, partial sequence"
BTB_48	BTB_48	MYC	7-30-20		"grew, correct"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	yellow clear	"yellowish, clear, thick growth; synergistic growth with chryseo in lit"		"Microbacterium maritypicum strain DSM 12512 16S ribosomal RNA, partial sequence"
BTB_59	BTB_59	MYC	7-30-20		"grew, contaminated"	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white/cream, smooth"	"white, milky, goopy/blebby spreading growth, shiny"		"Pseudomonas lactis strain DSM 29167 16S ribosomal RNA, partial sequence"
BTB_9	BTB_9	MYC	7-30-20		grew	Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"yellow, clear, smooth"	"clear white, only newer individual colonies white but rest are transluscent, solid edge, smaller colonies, shiny"		"Frondihabitans sucicola strain GRS42 16S ribosomal RNA, partial sequence"
13C_2	13C	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	5 (uneven lawn on one rep; less spreader colonies on trial than control)	7	7	"white, smooth, irregular edge"			
17A_2	17A	MYC	7-30-20	round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA				
17D_2	17D	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	N	8-2-2020	no Bd lawn yet	failed	failed	NA				
9A_2	9A	MYC	7-30-20	round 2 retry		Y	8-2-2020	"2,2,0"	"2, 2, 0 (trial colonies grew slightly smaller, by about 1 mm, than controls; also edge of inhibition zone was fuzzy, could be 3 mm if you decide on it)"	"2, 3, 1 (green/yellow agar; very fuzzy edge to inhibition zone)"	2				
20A_2	20A	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth, irregular edge"			
20C_2	20C	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth, irregular edge"			
20D_2	20D	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth, irregular edge"			
21A_2	21A	MYC	7-30-20	round 2 retry		N	8-2-2020	no Bd lawn yet	1 (other rep had uneven bd lawn; trial colony grew 6 mm and control grew 4 mm diameter)		NA	"clear, smooth"			
21C_2	21C	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth"			
22C_2	22C	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	N	8-2-2020	no Bd lawn yet	failed	failed	NA	clear			
23A_2	23A	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	N	8-2-2020	no Bd lawn yet	failed	failed	NA				
23C_2 ** I think I labeled 23G by accident	23C	MYC	7-30-20	round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth"			
23K_2	23K	MYC	7-30-20	round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA	"clear, smooth, slow growing"			
23L_2	23L	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	N	8-2-2020	no Bd lawn yet	failed	failed	NA	"clear, smooth, sparsely growing"			
24A_2	24A	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	N	8-2-2020	no Bd lawn yet	failed	failed	NA				
24C_2	24C	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white clear, smooth"			
24D_2	24D	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth"			
24G_2	24G	MYC	7-30-20	round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA				
24I_2	24I	MYC	7-27-20	round 2 retry	Grew for longer time; from previous batch	N 	8-2-2020	no Bd lawn yet	failed	failed	NA				
24J_2	24J	MYC	7-30-20	round 2 retry	liq looks like it didn't grow	Y	8-2-2020	no Bd lawn yet	failed	failed	NA				
