TubeID	IsolateID	g_sp	Random_order	PlateID	WellID	plate_well	Replicate	row	col	cloudy	CV	growth_midpoint1	growth_midpoint2	growth_midpoint3
11	20C	Buttiauxella_noackiae	78	4	D7	4_D7	2	D	7	2	1.25	-0.46	9.19	9.35
11	20C	Buttiauxella_noackiae	123	7	C10	7_C10	3	C	10	2	0.939	-0.46	9.19	9.35
12	20D	Chryseobacterium_aquaticum	34	1	E7	1_E7	1	E	7	2	0.151	10.51	9.94	8.82
12	20D	Chryseobacterium_aquaticum	45	3	G4	3_G4	2	G	4	2	0.205	10.51	9.94	8.82
12	20D	Chryseobacterium_aquaticum	41	5	G7	5_G7	3	G	7	2	0.222	10.51	9.94	8.82
13	21A	Paenibacillus_humicus	6	1	B7	1_B7	1	B	7	2	0.165	19.5	22.62	23.03
13	21A	Paenibacillus_humicus	11	3	C10	3_C10	2	C	10	2	0.177	19.5	22.62	23.03
13	21A	Paenibacillus_humicus	26	5	F2	5_F2	3	F	2	2	0.146	19.5	22.62	23.03
14	21C	Serratia_marcescens	28	1	D10	1_D10	1	D	10	2	0.244	7.48	0.88	7.12
14	21C	Serratia_marcescens	100	4	F9	4_F9	2	F	9	2	0.225	7.48	0.88	7.12
14	21C	Serratia_marcescens	62	6	C9	6_C9	3	C	9	2	0.283	7.48	0.88	7.12
15	22C	Methylobacterium_pseudosasicola	21	1	D3	1_D3	1	D	3	0	0.148	9.28	-13.68	0
15	22C	Methylobacterium_pseudosasicola	82	4	D11	4_D11	2	D	11	0	0.152	9.28	-13.68	0
15	22C	Methylobacterium_pseudosasicola	14	5	D10	5_D10	3	D	10	0	0.157	9.28	-13.68	0
16	23C	Bacillus_solisilvae	45	1	F8	1_F8	1	F	8	2	0.142	66.38	27.25	0
16	23C	Bacillus_solisilvae	110	4	G10	4_G10	2	G	10	2	0.167	66.38	27.25	0
16	23C	Bacillus_solisilvae	87	6	F4	6_F4	3	F	4	2	0.193	66.38	27.25	0
17	23E	Yersinia_ruckeri	69	2	C2	2_C2	1	C	2	2	0.157	12.76	11.62	12.63
17	23E	Yersinia_ruckeri	85	4	E4	4_E4	2	E	4	2	0.15	12.76	11.62	12.63
17	23E	Yersinia_ruckeri	101	6	G8	6_G8	3	G	8	2	0.142	12.76	11.62	12.63
18	23G	Sphingomonas_panacis	5	1	B6	1_B6	1	B	6	2	0.204	17.08	13.54	8.95
18	23G	Sphingomonas_panacis	64	4	C3	4_C3	2	C	3	2	0.159	17.08	13.54	8.95
18	23G	Sphingomonas_panacis	98	6	G5	6_G5	3	G	5	2	0.172	17.08	13.54	8.95
19	23K	Paenibacillus_silagei	23	1	D5	1_D5	1	D	5	1	0.144	682.13	152.73	652.99
19	23K	Paenibacillus_silagei	74	4	D3	4_D3	2	D	3	1	0.146	682.13	152.73	652.99
19	23K	Paenibacillus_silagei	81	6	E8	6_E8	3	E	8	1	0.149	682.13	152.73	652.99
20	23L	Bacillus_circulans	86	2	D9	2_D9	1	D	9	1	0.152	11.44	7.76	0.96
20	23L	Bacillus_circulans	101	4	F10	4_F10	2	F	10	1	0.159	11.44	7.76	0.96
20	23L	Bacillus_circulans	83	6	E10	6_E10	3	E	10	1	0.149	11.44	7.76	0.96
21	24A	Variovorax_ginsengisoli	115	2	G8	2_G8	1	G	8	2	0.185	13.94	9.71	29.89
21	24A	Variovorax_ginsengisoli	36	3	F5	3_F5	2	F	5	2	0.239	13.94	9.71	29.89
21	24A	Variovorax_ginsengisoli	40	5	G6	5_G6	3	G	6	2	0.16	13.94	9.71	29.89
22	24B	Sphingomonas_faeni	7	1	B8	1_B8	1	B	8	2	0.613	-0.17	12.91	19.27
22	24B	Sphingomonas_faeni	1	3	B9	3_B9	2	B	9	2	1.218	-0.17	12.91	19.27
22	24B	Sphingomonas_faeni	20	5	E6	5_E6	3	E	6	2	0.335	-0.17	12.91	19.27
23	24C	Rahnella_aquatilis	66	2	B9	2_B9	1	B	9	2	0.387	9.55	8.74	10.52
23	24C	Rahnella_aquatilis	47	3	G6	3_G6	2	G	6	2	0.538	9.55	8.74	10.52
23	24C	Rahnella_aquatilis	56	6	C3	6_C3	3	C	3	2	0.395	9.55	8.74	10.52
24	24D	Viridibacillus_arvi	90	2	E3	2_E3	1	E	3	2	0.216	22.78	18.5	439.46
24	24D	Viridibacillus_arvi	98	4	F7	4_F7	2	F	7	2	0.191	22.78	18.5	439.46
24	24D	Viridibacillus_arvi	32	5	F8	5_F8	3	F	8	2	0.208	22.78	18.5	439.46
25	24G	Rhodococcus_fascians	103	2	F6	2_F6	1	F	6	2	0.366	19.55	17.1	46.95
25	24G	Rhodococcus_fascians	113	5	B3	5_B3	2	B	3	2	0.282	19.55	17.1	46.95
25	24G	Rhodococcus_fascians	48	6	B4	6_B4	3	B	4	2	0.235	19.55	17.1	46.95
26	24I	Sphingomonas_aerolata	26	1	D8	1_D8	1	D	8	2	0.169	7.58	-0.1	5.46
26	24I	Sphingomonas_aerolata	8	3	C7	3_C7	2	C	7	2	0.197	7.58	-0.1	5.46
26	24I	Sphingomonas_aerolata	97	6	G4	6_G4	3	G	4	2	0.147	7.58	-0.1	5.46
27	24J	Mucilaginibacter_polytrichastri	56	1	G9	1_G9	1	G	9	2	0.703	0	13.93	21.5
27	24J	Mucilaginibacter_polytrichastri	106	4	G5	4_G5	2	G	5	2	0.135	0	13.93	21.5
27	24J	Mucilaginibacter_polytrichastri	51	6	B7	6_B7	3	B	7	2	0.148	0	13.93	21.5
28	24L	Mucilaginibacter_polytrichastri	2	1	B3	1_B3	1	B	3	2	0.154	10.03	0	16.87
28	24L	Mucilaginibacter_polytrichastri	120	5	B10	5_B10	2	B	10	2	0.171	10.03	0	16.87
28	24L	Mucilaginibacter_polytrichastri	24	5	E10	5_E10	3	E	10	2	0.176	10.03	0	16.87
29	25A	Pseudomonas_asturiensis	73	2	C6	2_C6	1	C	6	2	0.264	8.53	10.27	8.58
29	25A	Pseudomonas_asturiensis	33	3	F2	3_F2	2	F	2	2	0.34	8.53	10.27	8.58
29	25A	Pseudomonas_asturiensis	45	5	G11	5_G11	3	G	11	2	0.324	8.53	10.27	8.58
30	25B	Pseudomonas_weihenstephanensis	92	2	E5	2_E5	1	E	5	2	0.516	9.57	8.92	7.9
30	25B	Pseudomonas_weihenstephanensis	111	4	G11	4_G11	2	G	11	2	0.623	9.57	8.92	7.9
30	25B	Pseudomonas_weihenstephanensis	73	6	D10	6_D10	3	D	10	2	0.452	9.57	8.92	7.9
31	25C	Yersinia_kristensenii	14	1	C6	1_C6	1	C	6	2	0.191	11.16	8.16	8.03
31	25C	Yersinia_kristensenii	90	4	E9	4_E9	2	E	9	2	0.167	11.16	8.16	8.03
31	25C	Yersinia_kristensenii	12	5	D7	5_D7	3	D	7	2	0.262	11.16	8.16	8.03
32	25D	Bacillus_aryabhattai	32	1	E4	1_E4	1	E	4	2	0.138	19.85	10.31	14.67
32	25D	Bacillus_aryabhattai	105	4	G4	4_G4	2	G	4	2	0.135	19.85	10.31	14.67
32	25D	Bacillus_aryabhattai	110	7	B7	7_B7	3	B	7	2	0.143	19.85	10.31	14.67
33	25E	Microbacterium_lacus	111	2	G4	2_G4	1	G	4	2	0.199	6.77	21.44	8.2
33	25E	Microbacterium_lacus	83	4	E2	4_E2	2	E	2	1	0.127	6.77	21.44	8.2
33	25E	Microbacterium_lacus	105	7	B2	7_B2	3	B	2	1	0.143	6.77	21.44	8.2
34	26A	Bacillus_simplex	105	2	F8	2_F8	1	F	8	1	1.798	8.32	8.26	12.99
34	26A	Bacillus_simplex	69	4	C8	4_C8	2	C	8	2	1.301	8.32	8.26	12.99
34	26A	Bacillus_simplex	104	6	G11	6_G11	3	G	11	2	1.38	8.32	8.26	12.99
35	27A	Methylorubrum_pseudosasae	10	1	B11	1_B11	1	B	11	2	0.17	187.12	16.25	23.6
35	27A	Methylorubrum_pseudosasae	80	4	D9	4_D9	2	D	9	2	0.154	187.12	16.25	23.6
35	27A	Methylorubrum_pseudosasae	75	6	E2	6_E2	3	E	2	2	0.135	187.12	16.25	23.6
36	27B	Pseudomonas_graminis	85	2	D8	2_D8	1	D	8	2	0.273	16.8	19.2	9.63
36	27B	Pseudomonas_graminis	92	4	E11	4_E11	2	E	11	2	0.576	16.8	19.2	9.63
36	27B	Pseudomonas_graminis	67	6	D4	6_D4	3	D	4	2	0.458	16.8	19.2	9.63
37	27C	Microbacterium_lacus	31	1	E3	1_E3	1	E	3	2	0.141	16.53	0	7.58
37	27C	Microbacterium_lacus	51	3	G10	3_G10	2	G	10	2	0.165	16.53	0	7.58
37	27C	Microbacterium_lacus	125	7	D2	7_D2	3	D	2	2	0.144	16.53	0	7.58
38	28B	Pseudomonas_migulae	13	1	C5	1_C5	1	C	5	2	0.46	8.58	9.64	15.66
38	28B	Pseudomonas_migulae	26	3	E5	3_E5	2	E	5	2	0.32	8.58	9.64	15.66
38	28B	Pseudomonas_migulae	17	5	E3	5_E3	3	E	3	2	0.19	8.58	9.64	15.66
39	29G	Paenibacillus_amylolyticus	123	3	B6	3_B6	1	B	6	2	0.159	17.45	11.85	10.83
39	29G	Paenibacillus_amylolyticus	94	4	F3	4_F3	2	F	3	2	0.136	17.45	11.85	10.83
39	29G	Paenibacillus_amylolyticus	54	6	B10	6_B10	3	B	10	2	0.175	17.45	11.85	10.83
40	2A	Pseudomonas_veronii	65	2	B8	2_B8	1	B	8	2	0.331	9.41	0.03	9.52
40	2A	Pseudomonas_veronii	16	3	D5	3_D5	2	D	5	2	0.318	9.41	0.03	9.52
40	2A	Pseudomonas_veronii	19	5	E5	5_E5	3	E	5	2	0.339	9.41	0.03	9.52
41	2E	Pseudomonas_lurida	54	1	G7	1_G7	1	G	7	2	0.278	7.38	7.5	8.83
41	2E	Pseudomonas_lurida	103	4	G2	4_G2	2	G	2	2	0.473	7.38	7.5	8.83
41	2E	Pseudomonas_lurida	22	5	E8	5_E8	3	E	8	2	0.898	7.38	7.5	8.83
42	2F	Pseudomonas_orientalis	55	1	G8	1_G8	1	G	8	2	1.377	7.33	7.26	8.61
42	2F	Pseudomonas_orientalis	77	4	D6	4_D6	2	D	6	2	1.241	7.33	7.26	8.61
42	2F	Pseudomonas_orientalis	64	6	C11	6_C11	3	C	11	2	1.288	7.33	7.26	8.61
43	2G	Curtobacterium_flaccumfaciens	97	2	E10	2_E10	1	E	10	1	0.153	10.83	11.62	19.14
43	2G	Curtobacterium_flaccumfaciens	17	3	D6	3_D6	2	D	6	1	0.171	10.83	11.62	19.14
43	2G	Curtobacterium_flaccumfaciens	1	5	C6	5_C6	3	C	6	1	0.157	10.83	11.62	19.14
44	2H	Acinetobacter_radioresistens	42	1	F5	1_F5	1	F	5	2	0.177	10.64	10.35	5.26
44	2H	Acinetobacter_radioresistens	68	4	C7	4_C7	2	C	7	2	0.195	10.64	10.35	5.26
44	2H	Acinetobacter_radioresistens	90	6	F7	6_F7	3	F	7	2	0.175	10.64	10.35	5.26
45	30F	Variovorax_boronicumulans	78	2	C11	2_C11	1	C	11	0	0.153	0	-124.88	7.56
45	30F	Variovorax_boronicumulans	44	3	G3	3_G3	2	G	3	0	0.253	0	-124.88	7.56
45	30F	Variovorax_boronicumulans	113	7	B10	7_B10	3	B	10	0	0.152	0	-124.88	7.56
46	30H	Sphingomonas_zeae	9	1	B10	1_B10	1	B	10	2	1.574	11.11	8.96	9.09
46	30H	Sphingomonas_zeae	25	3	E4	3_E4	2	E	4	2	0.81	11.11	8.96	9.09
46	30H	Sphingomonas_zeae	10	5	D5	5_D5	3	D	5	2	0.945	11.11	8.96	9.09
47	31B	Serratia_rubidaea	29	1	D11	1_D11	1	D	11	2	0.321	18.95	8.18	0
47	31B	Serratia_rubidaea	118	5	B8	5_B8	2	B	8	2	0.177	18.95	8.18	0
47	31B	Serratia_rubidaea	13	5	D9	5_D9	3	D	9	2	0.159	18.95	8.18	0
48	32D	Pseudomonas_paralactis	79	2	D2	2_D2	1	D	2	2	2.266	8.4	10.36	9.33
48	32D	Pseudomonas_paralactis	37	3	F6	3_F6	2	F	6	2	2.207	8.4	10.36	9.33
48	32D	Pseudomonas_paralactis	38	5	G4	5_G4	3	G	4	2	1.89	8.4	10.36	9.33
49	32E	Pseudomonas_mucidolens	30	1	E2	1_E2	1	E	2	2	0.284	13.01	6.7	6.32
49	32E	Pseudomonas_mucidolens	35	3	F4	3_F4	2	F	4	2	0.447	13.01	6.7	6.32
49	32E	Pseudomonas_mucidolens	35	5	F11	5_F11	3	F	11	2	0.3	13.01	6.7	6.32
50	32G	Stenotrophomonas_pavanii	59	2	B2	2_B2	1	B	2	2	0.719	7.24	15.27	10.06
50	32G	Stenotrophomonas_pavanii	99	4	F8	4_F8	2	F	8	2	0.638	7.24	15.27	10.06
50	32G	Stenotrophomonas_pavanii	69	6	D6	6_D6	3	D	6	2	0.726	7.24	15.27	10.06
51	33B	Stenotrophomonas_maltophilia	15	1	C7	1_C7	1	C	7	2	1.036	7.51	7.98	5.48
51	33B	Stenotrophomonas_maltophilia	87	4	E6	4_E6	2	E	6	2	1.009	7.51	7.98	5.48
51	33B	Stenotrophomonas_maltophilia	37	5	G3	5_G3	3	G	3	2	1.127	7.51	7.98	5.48
52	33D	Methylorubrum_extorquens	70	2	C3	2_C3	1	C	3	1	0.179	20.84	24.42	31.35
52	33D	Methylorubrum_extorquens	97	4	F6	4_F6	2	F	6	1	0.164	20.84	24.42	31.35
52	33D	Methylorubrum_extorquens	47	6	B3	6_B3	3	B	3	1	0.166	20.84	24.42	31.35
53	34B	Pseudomonas_brenneri	118	2	G11	2_G11	1	G	11	2	1.283	8.37	9.97	6.86
53	34B	Pseudomonas_brenneri	62	4	B11	4_B11	2	B	11	2	1.177	8.37	9.97	6.86
53	34B	Pseudomonas_brenneri	50	6	B6	6_B6	3	B	6	2	0.911	8.37	9.97	6.86
54	34F	Collimonas_arenae	36	1	E9	1_E9	1	E	9	2	0.235	17.41	8.13	7.34
54	34F	Collimonas_arenae	66	4	C5	4_C5	2	C	5	2	0.3	17.41	8.13	7.34
54	34F	Collimonas_arenae	72	6	D9	6_D9	3	D	9	2	0.29	17.41	8.13	7.34
55	35A	Phyllobacterium_myrsinacearum	24	1	D6	1_D6	1	D	6	2	0.876	7.76	0	8.6
55	35A	Phyllobacterium_myrsinacearum	59	4	B8	4_B8	2	B	8	2	0.854	7.76	0	8.6
55	35A	Phyllobacterium_myrsinacearum	99	6	G6	6_G6	3	G	6	2	0.719	7.76	0	8.6
56	35B	Frondihabitans_peucedani	20	1	D2	1_D2	1	D	2	2	1.165	-1.18	0	0
56	35B	Frondihabitans_peucedani	43	3	G2	3_G2	2	G	2	2	1.103	-1.18	0	0
56	35B	Frondihabitans_peucedani	122	7	C9	7_C9	3	C	9	2	1.097	-1.18	0	0
57	35C	Bacillus_mycoides	50	1	G3	1_G3	1	G	3	2	0.182	17.79	16.21	14.83
57	35C	Bacillus_mycoides	79	4	D8	4_D8	2	D	8	2	0.169	17.79	16.21	14.83
57	35C	Bacillus_mycoides	9	5	D4	5_D4	3	D	4	2	0.242	17.79	16.21	14.83
58	35E	Pseudomonas_chlororaphis	52	1	G5	1_G5	1	G	5	2	1.131	6.46	6.51	6.23
58	35E	Pseudomonas_chlororaphis	41	3	F10	3_F10	2	F	10	2	1.007	6.46	6.51	6.23
58	35E	Pseudomonas_chlororaphis	63	6	C10	6_C10	3	C	10	2	0.838	6.46	6.51	6.23
59	35F	Yonghaparkia_alkaliphila	120	3	B3	3_B3	1	B	3	2	0.2	12.57	9.35	9.69
59	35F	Yonghaparkia_alkaliphila	48	3	G7	3_G7	2	G	7	2	0.176	12.57	9.35	9.69
59	35F	Yonghaparkia_alkaliphila	118	7	C5	7_C5	3	C	5	2	0.155	12.57	9.35	9.69
127	35G	Clavibacter_michiganensis	109	2	G2	2_G2	1	G	2	2	0.199	12.07	0.1	9.64
127	35G	Clavibacter_michiganensis	89	4	E8	4_E8	2	E	8	2	0.147	12.07	0.1	9.64
127	35G	Clavibacter_michiganensis	117	7	C4	7_C4	3	C	4	2	0.163	12.07	0.1	9.64
61	35J	Glaciihabitans_tibetensis	83	2	D6	2_D6	1	D	6	2	0.212	6.23	5.77	7.19
61	35J	Glaciihabitans_tibetensis	104	4	G3	4_G3	2	G	3	2	0.149	6.23	5.77	7.19
61	35J	Glaciihabitans_tibetensis	65	6	D2	6_D2	3	D	2	2	0.153	6.23	5.77	7.19
62	36A	Rhodococcus_fascians	4	1	B5	1_B5	1	B	5	2	0.268	43.2	21.88	18.09
62	36A	Rhodococcus_fascians	91	4	E10	4_E10	2	E	10	2	0.343	43.2	21.88	18.09
62	36A	Rhodococcus_fascians	39	5	G5	5_G5	3	G	5	2	0.429	43.2	21.88	18.09
63	36B	Plantibacter_flavus	93	2	E6	2_E6	1	E	6	2	0.161	-1.13	5.52	-1.15
63	36B	Plantibacter_flavus	3	3	B11	3_B11	2	B	11	2	0.162	-1.13	5.52	-1.15
63	36B	Plantibacter_flavus	25	5	E11	5_E11	3	E	11	2	0.172	-1.13	5.52	-1.15
64	36D	Pseudomonas_graminis	67	2	B10	2_B10	1	B	10	2	0.444	16.08	-1.42	9.93
64	36D	Pseudomonas_graminis	52	4	G11	4_G11	2	G	11	2	0.623	16.08	-1.42	9.93
64	36D	Pseudomonas_graminis	44	5	G10	5_G10	3	G	10	2	0.467	16.08	-1.42	9.93
65	36E	Methylobacterium_mesophilicum	99	2	F2	2_F2	1	F	2	2	0.554	10.7	10.72	12.32
65	36E	Methylobacterium_mesophilicum	84	4	E3	4_E3	2	E	3	2	0.402	10.7	10.72	12.32
65	36E	Methylobacterium_mesophilicum	95	6	G2	6_G2	3	G	2	2	0.648	10.7	10.72	12.32
66	36F	Methylobacterium_mesophilicum	88	2	D11	2_D11	1	D	11	2	0.16	14.45	0	12.96
66	36F	Methylobacterium_mesophilicum	56	4	B5	4_B5	2	B	5	2	0.162	14.45	0	12.96
66	36F	Methylobacterium_mesophilicum	76	6	E3	6_E3	3	E	3	2	0.145	14.45	0	12.96
67	36G	Arthrobacter_citreus	76	2	C9	2_C9	1	C	9	2	0.155	6.65	5.99	6.38
67	36G	Arthrobacter_citreus	31	3	E10	3_E10	2	E	10	2	0.162	6.65	5.99	6.38
67	36G	Arthrobacter_citreus	102	6	G9	6_G9	3	G	9	2	0.17	6.65	5.99	6.38
68	36H	Kaistia_defluvii	12	1	C3	1_C3	1	C	3	2	0.156	681.42	30.71	10.1
68	36H	Kaistia_defluvii	116	5	B6	5_B6	2	B	6	2	0.183	681.42	30.71	10.1
68	36H	Kaistia_defluvii	16	5	E2	5_E2	3	E	2	2	0.141	681.42	30.71	10.1
69	36I	Microvirga_subterranea	113	2	G6	2_G6	1	G	6	2	0.217	-10.02	20.33	5.39
69	36I	Microvirga_subterranea	21	3	D10	3_D10	2	D	10	2	0.245	-10.02	20.33	5.39
69	36I	Microvirga_subterranea	8	5	D3	5_D3	3	D	3	2	0.243	-10.02	20.33	5.39
70	37C	Sandarakinorhabdus_cyanobacteriorum	57	1	G10	1_G10	1	G	10	1	0.231	10.18	5	2.34
70	37C	Sandarakinorhabdus_cyanobacteriorum	58	4	B7	4_B7	2	B	7	1	0.146	10.18	5	2.34
70	37C	Sandarakinorhabdus_cyanobacteriorum	108	7	B5	7_B5	3	B	5	1	0.202	10.18	5	2.34
71	37D	Microbacterium_aquimaris	117	2	G10	2_G10	1	G	10	2	0.147	-18.05	-4.81	-33.33
71	37D	Microbacterium_aquimaris	119	5	B9	5_B9	2	B	9	2	0.172	-18.05	-4.81	-33.33
71	37D	Microbacterium_aquimaris	119	7	C6	7_C6	3	C	6	2	0.144	-18.05	-4.81	-33.33
72	37E	Microbacterium_chocolatum	84	2	D7	2_D7	1	D	7	2	0.398	10.01	11.32	10.8
72	37E	Microbacterium_chocolatum	50	3	G9	3_G9	2	G	9	2	0.544	10.01	11.32	10.8
72	37E	Microbacterium_chocolatum	116	7	C3	7_C3	3	C	3	2	0.466	10.01	11.32	10.8
73	37F	Marinobacterium_aestuarii	47	1	F10	1_F10	1	F	10	0	0.147	0.26	11.83	6.22
73	37F	Marinobacterium_aestuarii	12	3	C11	3_C11	2	C	11	0	0.15	0.26	11.83	6.22
73	37F	Marinobacterium_aestuarii	46	6	B2	6_B2	3	B	2	0	0.14	0.26	11.83	6.22
74	37H	Paenibacillus_xylanexedens	110	2	G3	2_G3	1	G	3	2	0.702	7.02	3.45	9.17
74	37H	Paenibacillus_xylanexedens	28	3	E7	3_E7	2	E	7	2	0.53	7.02	3.45	9.17
74	37H	Paenibacillus_xylanexedens	33	5	F9	5_F9	3	F	9	2	0.772	7.02	3.45	9.17
75	40A	Microbacterium_deminutum	102	2	F5	2_F5	1	F	5	2	0.245	6.31	0.27	0
75	40A	Microbacterium_deminutum	73	4	D2	4_D2	2	D	2	2	0.227	6.31	0.27	0
75	40A	Microbacterium_deminutum	2	5	C7	5_C7	3	C	7	2	0.26	6.31	0.27	0
76	40B	Georgenia_satyanarayanai	18	1	C10	1_C10	1	C	10	2	0.167	10.38	11.27	12.84
76	40B	Georgenia_satyanarayanai	7	3	C6	3_C6	2	C	6	2	0.531	10.38	11.27	12.84
76	40B	Georgenia_satyanarayanai	78	6	E5	6_E5	3	E	5	2	0.66	10.38	11.27	12.84
77	40C	Pseudomonas_helmanticensis	108	2	F11	2_F11	1	F	11	2	0.363	7.21	3.73	7.65
77	40C	Pseudomonas_helmanticensis	123	5	C3	5_C3	3	C	3	2	0.421	7.21	3.73	7.65
77	40C	Pseudomonas_helmanticensis	30	5	F6	5_F6	3	F	6	2	0.282	7.21	3.73	7.65
78	41B	Pseudomonas_koreensis	106	2	F9	2_F9	1	F	9	2	0.523	7.51	4.36	6.44
78	41B	Pseudomonas_koreensis	112	5	B2	5_B2	2	B	2	2	0.481	7.51	4.36	6.44
78	41B	Pseudomonas_koreensis	86	6	F3	6_F3	3	F	3	2	0.452	7.51	4.36	6.44
79	41D	Sanguibacter_inulinus	98	2	E11	2_E11	1	E	11	1	0.147	15.3	14.7	6.08
79	41D	Sanguibacter_inulinus	54	4	B3	4_B3	2	B	3	1	0.431	15.3	14.7	6.08
79	41D	Sanguibacter_inulinus	21	5	E7	5_E7	3	E	7	1	0.144	15.3	14.7	6.08
80	44A	Mycolicibacterium_rutilum	122	3	B5	3_B5	1	B	5	0	0.194	15.33	-18.25	10.26
80	44A	Mycolicibacterium_rutilum	60	4	B9	4_B9	2	B	9	0	0.184	15.33	-18.25	10.26
80	44A	Mycolicibacterium_rutilum	55	6	C2	6_C2	3	C	2	0	0.149	15.33	-18.25	10.26
81	45A	Erwinia_aphidicola	95	2	E8	2_E8	1	E	8	1	0.207	15.93	-0.13	-445.81
81	45A	Erwinia_aphidicola	53	4	B2	4_B2	2	B	2	1	0.14	15.93	-0.13	-445.81
81	45A	Erwinia_aphidicola	5	5	C10	5_C10	3	C	10	1	0.174	15.93	-0.13	-445.81
82	45B	Erwinia_aphidicola	49	1	G2	1_G2	1	G	2	2	0.134	5.79	7.89	3.54
82	45B	Erwinia_aphidicola	96	4	F5	4_F5	2	F	5	2	0.158	5.79	7.89	3.54
82	45B	Erwinia_aphidicola	52	6	B8	6_B8	3	B	8	2	0.312	5.79	7.89	3.54
83	45D	Rahnella_inusitata	89	2	E2	2_E2	1	E	2	2	0.355	5.63	7.29	7.47
83	45D	Rahnella_inusitata	27	3	E6	3_E6	2	E	6	2	0.214	5.63	7.29	7.47
83	45D	Rahnella_inusitata	3	5	C8	5_C8	3	C	8	2	0.336	5.63	7.29	7.47
84	45E	Obesumbacterium_proteus	44	1	F7	1_F7	1	F	7	2	0.291	5.97	6.75	6.71
84	45E	Obesumbacterium_proteus	102	4	F11	4_F11	2	F	11	2	0.269	5.97	6.75	6.71
84	45E	Obesumbacterium_proteus	100	6	G7	6_G7	3	G	7	2	0.239	5.97	6.75	6.71
85	47C	Kocuria_rhizophila	114	2	G7	2_G7	1	G	7	2	1.381	16.24	18.76	18.26
85	47C	Kocuria_rhizophila	22	3	D11	3_D11	2	D	11	2	1.442	16.24	18.76	18.26
85	47C	Kocuria_rhizophila	88	6	F5	6_F5	3	F	5	2	1.464	16.24	18.76	18.26
86	49C	Hafnia_paralvei	104	2	F7	2_F7	1	F	7	2	0.219	10.21	-0.77	5.59
