SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	45D	13C	BTB_45	35A	50A	33B	37E	2F	50B	2E	35E	2H	34F	34B	20A	37H	49C	BTB_59	45E	36A	24L	20D	24D	54G	47C	21C	32G	40B	20C	36G	40A	CV_raw	CV	Bd_n	cClean
Inhib_2020-09-14_10_Rep6	7	10	Rep6	Bd	2020-09-14	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_10_Rep6	10	10	Rep6	CV	2020-09-14	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_3_Rep5	1	3	Rep5	Bd	2020-09-14	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
Inhib_2020-09-14_3_Rep5	15	3	Rep5	CV	2020-09-14	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_3_Rep6	19	3	Rep6	Bd	2020-09-14	Inhib	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_3_Rep6	26	3	Rep6	CV	2020-09-14	Inhib	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_1_Rep5	8	1	Rep5	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_1_Rep5	25	1	Rep5	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_1_Rep6	27	1	Rep6	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_1_Rep6	28	1	Rep6	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	FALSE
Non_2020-09-14_10_Rep5	4	10	Rep5	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_10_Rep5	21	10	Rep5	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_10_Rep6	6	10	Rep6	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	TRUE
Non_2020-09-14_10_Rep6	16	10	Rep6	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	TRUE
Non_2020-09-14_3_Rep5	13	3	Rep5	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_3_Rep5	14	3	Rep5	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_3_Rep6	2	3	Rep6	CV	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-14_3_Rep6	20	3	Rep6	Bd	2020-09-14	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE
