ASVID1	colorTips	ASVID	iso	ScientificName_unique	labelNames
dcba105f35d8ebc9e22269c7491ad3a7	black	dcba105f35d8ebc9e22269c7491ad3a7	dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	g__Stenotrophomonas_unknown.46
33B-27F_G11.ab1	red	33B-27F_G11.ab1	33B	Stenotrophomonas_isolate.1	Stenotrophomonas_isolate.1--33B-27F_G11.ab1
fb67b286b0f781b0de13d50179318995	black	fb67b286b0f781b0de13d50179318995	fb67b286b0f781b0de13d50179318995	g__Stenotrophomonas_unknown.47	g__Stenotrophomonas_unknown.47
32G-27F_B03.ab1	blue	32G-27F_B03.ab1	32G	Stenotrophomonas_isolate	Stenotrophomonas_isolate--32G-27F_B03.ab1
2H-27F_H03.ab1	red	2H-27F_H03.ab1	2H	Acinetobacter_isolate	Acinetobacter_isolate--2H-27F_H03.ab1
25A-27F_F12.ab1	blue	25A-27F_F12.ab1	25A	Pseudomonas_isolate	Pseudomonas_isolate--25A-27F_F12.ab1
BTB_45-27F_A05.ab1	red	BTB_45-27F_A05.ab1	BTB_45	Pseudomonas_isolate.6	Pseudomonas_isolate.6--BTB_45-27F_A05.ab1
43fddf1528d4a98928fd8c3a8ac23bfd	black	43fddf1528d4a98928fd8c3a8ac23bfd	43fddf1528d4a98928fd8c3a8ac23bfd	g__Pseudomonas_unknown.31	g__Pseudomonas_unknown.31
5648dccee530d68ceb3e4d7d22cf8756	black	5648dccee530d68ceb3e4d7d22cf8756	5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	g__Pseudomonas_unknown.41
34B-27F_F02.ab1	red	34B-27F_F02.ab1	34B	Pseudomonas_isolate.4	Pseudomonas_isolate.4--34B-27F_F02.ab1
BTB_59-27F_D07.ab1	blue	BTB_59-27F_D07.ab1	BTB_59	Pseudomonas_isolate.7	Pseudomonas_isolate.7--BTB_59-27F_D07.ab1
32E-27F_E09.ab1	red	32E-27F_E09.ab1	32E	Pseudomonas_isolate.3	Pseudomonas_isolate.3--32E-27F_E09.ab1
44a162f21fda1420467bd353f5c67211	black	44a162f21fda1420467bd353f5c67211	44a162f21fda1420467bd353f5c67211	g__Pseudomonas_unknown.33	g__Pseudomonas_unknown.33
7f499b98f8da9b1f9b8d10791ea2db91	black	7f499b98f8da9b1f9b8d10791ea2db91	7f499b98f8da9b1f9b8d10791ea2db91	g__Pseudomonas_unknown.51	g__Pseudomonas_unknown.51
ec2d6318d95da4328567972cc10eb066	black	ec2d6318d95da4328567972cc10eb066	ec2d6318d95da4328567972cc10eb066	g__Pseudomonas_unknown.580	g__Pseudomonas_unknown.580
c30ea0ffd45e89a13edc0ab8fb15c2f6	black	c30ea0ffd45e89a13edc0ab8fb15c2f6	c30ea0ffd45e89a13edc0ab8fb15c2f6	g__Pseudomonas_unknown.565	g__Pseudomonas_unknown.565
d5d20ebebb0eb375a078ec82b47a50ec	black	d5d20ebebb0eb375a078ec82b47a50ec	d5d20ebebb0eb375a078ec82b47a50ec	g__Pseudomonas_unknown.571	g__Pseudomonas_unknown.571
b65fae1900c461356f7ec33239edf811	black	b65fae1900c461356f7ec33239edf811	b65fae1900c461356f7ec33239edf811	g__Pseudomonas_unknown.562	g__Pseudomonas_unknown.562
2E-27F_G02.ab1	red	2E-27F_G02.ab1	2E	Pseudomonas_isolate.1	Pseudomonas_isolate.1--2E-27F_G02.ab1
52106e22009423eaaa64743e6cdfe659	black	52106e22009423eaaa64743e6cdfe659	52106e22009423eaaa64743e6cdfe659	g__Pseudomonas_unknown.39	g__Pseudomonas_unknown.39
4ce0d715d312a473a37ab09124cf0f34	black	4ce0d715d312a473a37ab09124cf0f34	4ce0d715d312a473a37ab09124cf0f34	g__Pseudomonas_unknown.37	g__Pseudomonas_unknown.37
9f10ad79c9fd3d0d6a7b41cae19cf1f4	black	9f10ad79c9fd3d0d6a7b41cae19cf1f4	9f10ad79c9fd3d0d6a7b41cae19cf1f4	g__Pseudomonas_unknown.58	g__Pseudomonas_unknown.58
14c6f745ca3896169903ea6ea03d48ac	black	14c6f745ca3896169903ea6ea03d48ac	14c6f745ca3896169903ea6ea03d48ac	g__Pseudomonas_unknown.6	g__Pseudomonas_unknown.6
255429c75a0f47d5a30c6ac429fa7c34	black	255429c75a0f47d5a30c6ac429fa7c34	255429c75a0f47d5a30c6ac429fa7c34	g__Pseudomonas_unknown.14	g__Pseudomonas_unknown.14
e97345e9d12e47c8712c8a693016d65e	black	e97345e9d12e47c8712c8a693016d65e	e97345e9d12e47c8712c8a693016d65e	g__Pseudomonas_unknown.576	g__Pseudomonas_unknown.576
033fc14444cc93f82f6464968d72c6b2	black	033fc14444cc93f82f6464968d72c6b2	033fc14444cc93f82f6464968d72c6b2	g__Pseudomonas_unknown.1	g__Pseudomonas_unknown.1
f13bd5edd93cef613314f42915c99a6f	black	f13bd5edd93cef613314f42915c99a6f	f13bd5edd93cef613314f42915c99a6f	g__Pseudomonas_unknown.582	g__Pseudomonas_unknown.582
5746145cd6809625dd78c312e6605cb4	black	5746145cd6809625dd78c312e6605cb4	5746145cd6809625dd78c312e6605cb4	g__Pseudomonas_unknown.42	g__Pseudomonas_unknown.42
2F-27F_E05.ab1	red	2F-27F_E05.ab1	2F	Pseudomonas_isolate.2	Pseudomonas_isolate.2--2F-27F_E05.ab1
93234676188a71a3d96809c07dfbec21	black	93234676188a71a3d96809c07dfbec21	93234676188a71a3d96809c07dfbec21	g__Pseudomonas_unknown.56	g__Pseudomonas_unknown.56
f39b145cd0896489db3646d0d26bd418	black	f39b145cd0896489db3646d0d26bd418	f39b145cd0896489db3646d0d26bd418	g__Pseudomonas_unknown.584	g__Pseudomonas_unknown.584
922f741ee774d85fd38a26312d4e9dda	black	922f741ee774d85fd38a26312d4e9dda	922f741ee774d85fd38a26312d4e9dda	g__Pseudomonas_unknown.55	g__Pseudomonas_unknown.55
d4575b9e7e37002f0d041ea717fb8a06	black	d4575b9e7e37002f0d041ea717fb8a06	d4575b9e7e37002f0d041ea717fb8a06	g__Pseudomonas_unknown.570	g__Pseudomonas_unknown.570
213f59ff91f42554a6570145dbeff3da	black	213f59ff91f42554a6570145dbeff3da	213f59ff91f42554a6570145dbeff3da	g__Pseudomonas_unknown.11	g__Pseudomonas_unknown.11
43292d77db4e71f520bc2661f373b05f	black	43292d77db4e71f520bc2661f373b05f	43292d77db4e71f520bc2661f373b05f	g__Pseudomonas_unknown.29	g__Pseudomonas_unknown.29
ffcce969599b117e0566b6767fe78b55	black	ffcce969599b117e0566b6767fe78b55	ffcce969599b117e0566b6767fe78b55	g__Pseudomonas_unknown.588	g__Pseudomonas_unknown.588
8e86630f5236d005b75249185d4e2d08	black	8e86630f5236d005b75249185d4e2d08	8e86630f5236d005b75249185d4e2d08	g__Pseudomonas_unknown.54	g__Pseudomonas_unknown.54
2615d9840911b76cdd3db2dd7817b53e	black	2615d9840911b76cdd3db2dd7817b53e	2615d9840911b76cdd3db2dd7817b53e	g__Pseudomonas_unknown.15	g__Pseudomonas_unknown.15
f8aeec3c1ff0f4e7e1c829e4db0618d9	black	f8aeec3c1ff0f4e7e1c829e4db0618d9	f8aeec3c1ff0f4e7e1c829e4db0618d9	g__Pseudomonas_unknown.585	g__Pseudomonas_unknown.585
35E-27F_A09.ab1	red	35E-27F_A09.ab1	35E	Pseudomonas_isolate.5	Pseudomonas_isolate.5--35E-27F_A09.ab1
1bc599cac5647c5c30496e93ca551557	black	1bc599cac5647c5c30496e93ca551557	1bc599cac5647c5c30496e93ca551557	g__Pseudomonas_unknown.9	g__Pseudomonas_unknown.9
38c27ceaed634984c1225a82648cf571	black	38c27ceaed634984c1225a82648cf571	38c27ceaed634984c1225a82648cf571	g__Pseudomonas_unknown.25	g__Pseudomonas_unknown.25
8b9ede8e4455abbacd8d8d787eb6383d	black	8b9ede8e4455abbacd8d8d787eb6383d	8b9ede8e4455abbacd8d8d787eb6383d	f__Enterobacteriaceae_unknown.1	f__Enterobacteriaceae_unknown.1
20C-27F_A07.ab1	blue	20C-27F_A07.ab1	20C	Buttiauxella_isolate	Buttiauxella_isolate--20C-27F_A07.ab1
21C-27F_G07.ab1	blue	21C-27F_G07.ab1	21C	Serratia_isolate	Serratia_isolate--21C-27F_G07.ab1
82dece6e35540738ba450a0c3a90b5a0	black	82dece6e35540738ba450a0c3a90b5a0	82dece6e35540738ba450a0c3a90b5a0	g__Serratia_unknown.3	g__Serratia_unknown.3
24C-27F_G05.ab1	blue	24C-27F_G05.ab1	24C	Enterobacteriaceae_isolate	Enterobacteriaceae_isolate--24C-27F_G05.ab1
45D-27F_A05.ab1	red	45D-27F_A05.ab1	45D	Enterobacteriaceae_isolate.1	Enterobacteriaceae_isolate.1--45D-27F_A05.ab1
3481fa43fe5fba6aecdc7f9aae6ed9c0	black	3481fa43fe5fba6aecdc7f9aae6ed9c0	3481fa43fe5fba6aecdc7f9aae6ed9c0	f__Yersiniaceae_unknown.7	f__Yersiniaceae_unknown.7
25C-27F_A02.ab1	blue	25C-27F_A02.ab1	25C	Yersinia_isolate	Yersinia_isolate--25C-27F_A02.ab1
63afe8e6aac58bf0d670a82ca5bc574c	black	63afe8e6aac58bf0d670a82ca5bc574c	63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	f__Yersiniaceae_unknown.13
205d983fc6a77838d0c5f28ea5485c28	black	205d983fc6a77838d0c5f28ea5485c28	205d983fc6a77838d0c5f28ea5485c28	f__Yersiniaceae_unknown.3	f__Yersiniaceae_unknown.3
54G-27F_B02.ab1	blue	54G-27F_B02.ab1	54G	Serratia_isolate.1	Serratia_isolate.1--54G-27F_B02.ab1
45E-27F_R_C02.ab1	blue	45E-27F_R_C02.ab1	45E	Hafnia-Obesumbacterium_isolate.1	Hafnia-Obesumbacterium_isolate.1--45E-27F_R_C02.ab1
13C-27F_R_H02.ab1	red	13C-27F_R_H02.ab1	13C	Hafnia-Obesumbacterium_isolate	Hafnia-Obesumbacterium_isolate--13C-27F_R_H02.ab1
4850a238b7fbbd5ffa204c5a5a396f2c	black	4850a238b7fbbd5ffa204c5a5a396f2c	4850a238b7fbbd5ffa204c5a5a396f2c	g__Hafnia-Obesumbacterium_unknown.3	g__Hafnia-Obesumbacterium_unknown.3
49C-27F_A04.ab1	blue	49C-27F_A04.ab1	49C	Hafnia-Obesumbacterium_isolate.2	Hafnia-Obesumbacterium_isolate.2--49C-27F_A04.ab1
945184b6386c192c0066e0a98a154780	black	945184b6386c192c0066e0a98a154780	945184b6386c192c0066e0a98a154780	f__Enterobacteriaceae_unknown.2	f__Enterobacteriaceae_unknown.2
