SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	plate_bdinhib	BTB_47	33B	50A	32E	2E	2H	13C	50B	35A	BTB_45	34F	33D	35E	2F	37E	24L	40A	24D	24C	49C	35B	20D	BTB_28	25C	20C	47C	36E	32G	54G	40B	CV_raw	CV	Bd_n	volPellet	cClean
Inhib_2020-08-31_10_Rep2	18	10	Rep2	Bd	2020-08-31	Inhib		TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_10_Rep2	20	10	Rep2	CV	2020-08-31	Inhib		TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_3_Rep1	4	3	Rep1	Bd	2020-08-31	Inhib		TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_3_Rep1	8	3	Rep1	CV	2020-08-31	Inhib		TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_3_Rep2	25	3	Rep2	Bd	2020-08-31	Inhib		NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	TRUE
Inhib_2020-08-31_3_Rep2	28	3	Rep2	CV	2020-08-31	Inhib		NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	TRUE
Non_2020-08-31_1_Rep1	1	1	Rep1	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	FALSE
Non_2020-08-31_1_Rep1	21	1	Rep1	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_1_Rep2	2	1	Rep2	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_1_Rep2	12	1	Rep2	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_10_Rep1	5	10	Rep1	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_10_Rep1	26	10	Rep1	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_10_Rep2	3	10	Rep2	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	1	TRUE
Non_2020-08-31_10_Rep2	17	10	Rep2	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	1	TRUE
Non_2020-08-31_3_Rep1	16	3	Rep1	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_3_Rep1	24	3	Rep1	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Non_2020-08-31_3_Rep2	11	3	Rep2	Bd	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	0.5	TRUE
Non_2020-08-31_3_Rep2	13	3	Rep2	CV	2020-08-31	Non		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	0.5	FALSE
