SampleID	sampleID_qPCR	introRich	obsRich	ASV_1a536b0e1f97503816f150ed89839a0f	ASV_255429c75a0f47d5a30c6ac429fa7c34	ASV_f13bd5edd93cef613314f42915c99a6f	ASV_14c6f745ca3896169903ea6ea03d48ac	ASV_033fc14444cc93f82f6464968d72c6b2	ASV_dcba105f35d8ebc9e22269c7491ad3a7	ASV_fa0bfc5b671a0016df8fd1840f314bab	ASV_e97345e9d12e47c8712c8a693016d65e	ASV_d32e579b3ae7b2aae8d5bf9f027c29af	ASV_5648dccee530d68ceb3e4d7d22cf8756	ASV_d5d20ebebb0eb375a078ec82b47a50ec	ASV_945184b6386c192c0066e0a98a154780	ASV_4850a238b7fbbd5ffa204c5a5a396f2c	ASV_205d983fc6a77838d0c5f28ea5485c28	ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	ASV_8b9ede8e4455abbacd8d8d787eb6383d	ASV_3bb0bf5132b0f988573de9bd6059b22c	ASV_63afe8e6aac58bf0d670a82ca5bc574c	ASV_4ea59d33f520370432fb7cb625b56c12	ASV_38c27ceaed634984c1225a82648cf571	ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	ASV_bdf8a26094624622d68509a87fa75ba7	ASV_6a42f6b31b1958a4fd7c015ad7affbf4	ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	ASV_43fddf1528d4a98928fd8c3a8ac23bfd	ASV_213f59ff91f42554a6570145dbeff3da	ASV_5746145cd6809625dd78c312e6605cb4	ASV_ec2d6318d95da4328567972cc10eb066	ASV_bc56a7361c9a3b49f1f1c51874321e12	ASV_fb67b286b0f781b0de13d50179318995	ASV_ffcce969599b117e0566b6767fe78b55	ASV_9f10ad79c9fd3d0d6a7b41cae19cf1f4	ASV_b65fae1900c461356f7ec33239edf811	ASV_7f499b98f8da9b1f9b8d10791ea2db91	ASV_f39b145cd0896489db3646d0d26bd418	ASV_43292d77db4e71f520bc2661f373b05f	ASV_44a162f21fda1420467bd353f5c67211	ASV_52106e22009423eaaa64743e6cdfe659	ASV_93234676188a71a3d96809c07dfbec21	ASV_4ce0d715d312a473a37ab09124cf0f34	ASV_c30ea0ffd45e89a13edc0ab8fb15c2f6	ASV_2615d9840911b76cdd3db2dd7817b53e	ASV_8e86630f5236d005b75249185d4e2d08	ASV_922f741ee774d85fd38a26312d4e9dda	ASV_d4575b9e7e37002f0d041ea717fb8a06	ASV_dd18c11c9ae50bd4f90b015e8c78de58	ASV_82dece6e35540738ba450a0c3a90b5a0	ASV_1bc599cac5647c5c30496e93ca551557	REMOVE_SEQCONTAM	ASV_a0a6a2bfc50e87cf99e385b7384f8019	ASV_4cec258429289d8463d0d5f42a7a4cad	ASV_180843d213d81292129ca7501d19904c	ASV_5e5652fbc2332a8189559dec86869b7c	ASV_d69e2e7690e0766c9832eafd079bc99c
Inhib_2020-10-05_3_Rep12	R12_J7_Pre	3	1	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_10_Rep12	R12_J17_Pre	8	8	0	0	1499	0	2686	0	51266	0	0	35128	0	0	0	0	0	0	0	0	0	0	0	2545	0	0	0	2302	4815	3580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_1_Rep12	R12_J18_Pre	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_3_Rep12	R12_J9_Pre	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_10_Rep12	R12_J27_Pre	7	3	0	0	0	0	0	281914	0	0	0	95268	0	0	0	0	0	0	0	81803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-08-31_0_Rep2	R2_J10_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_1_Rep2	R2_J14_Pre	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_3_Rep2	R2_J28_Pre	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67691	0	0	19616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_10_Rep2	R2_J20_Pre	9	5	0	0	0	0	0	6592	0	0	10825	5520	0	0	0	0	0	0	0	0	0	278040	0	0	0	0	0	0	0	0	0	289348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_1_Rep2	R2_J12_Pre	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10687	4437	0	0	0	20426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_3_Rep2	R2_J13_Pre	2	4	0	0	0	0	0	0	0	0	0	0	0	0	88722	39173	0	0	0	176972	0	0	0	0	0	0	0	0	0	0	44110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_10_Rep2	R2_J17_Pre	8	4	0	0	0	0	0	177165	0	0	0	0	0	50579	0	0	0	30072	0	50345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-09-07_0_Rep3	R3_J16_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-07_1_Rep3	R3_J7_Pre	1	17	0	5745	7187	4768	7369	0	0	3158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5287	0	0	0	0	4247	0	2650	4534	0	0	3788	5890	2864	10758	1713	5527	9619	2769	0	0	0	1	0	0	0	0	0
Inhib_2020-09-07_3_Rep3	R3_J24_Pre	3	13	0	2421	3866	2302	3253	0	70511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2437	0	0	0	1652	0	0	0	3241	2180	1649	3663	4273	5825	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Inhib_2020-09-07_10_Rep3	R3_J4_Pre	10	9	0	3059	5250	3758	24208	0	284137	0	5287	194687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367129	0	0	0	0	0	0	11708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-07_1_Rep3	R3_J28_Pre	1	1	0	0	0	0	0	0	0	0	0	0	0	0	35123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-07_3_Rep3	R3_J15_Pre	3	3	0	0	0	0	0	189219	0	0	0	0	0	0	53927	0	0	0	0	145787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-07_10_Rep3	R3_J21_Pre	10	6	0	0	0	0	0	157594	0	0	0	0	0	72784	32072	0	0	45585	0	59004	0	0	0	0	0	0	0	0	0	0	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-09-07_0_Rep4	R4_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-07_1_Rep4	R4_J13_Pre	1	1	0	0	0	0	0	0	8346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-07_3_Rep4	R4_J23_Pre	2	2	0	0	0	0	0	0	10859	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-07_10_Rep4	R4_J26_Pre	9	6	0	0	5413	0	0	0	56879	0	4439	18278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52830	0	0	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-07_1_Rep4	R4_J10_Pre	1	2	0	0	0	0	0	108019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3215	0	0	0	0	0	0	0	0
Non_2020-09-07_3_Rep4	R4_J22_Pre	3	2	0	0	0	0	0	347685	0	0	0	0	0	0	0	0	0	0	18686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-07_10_Rep4	R4_J27_Pre	10	2	0	0	0	0	0	89163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113488	0	0	0	0	0	0	0
Con_2020-09-14_0_Rep5	R5_J3_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-14_1_Rep5	R5_J5_Pre	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-14_3_Rep5	R5_J15_Pre	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18817	0	56347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-14_10_Rep5	R5_J11_Pre	8	6	0	0	3311	0	0	100207	17848	0	0	14122	0	0	0	0	0	0	0	1659	0	82305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-14_1_Rep5	R5_J25_Pre	1	3	0	0	0	0	0	0	0	0	0	0	0	0	11961	5052	0	0	0	22118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-14_3_Rep5	R5_J13_Pre	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1969	0	0	0	0	2759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-14_10_Rep5	R5_J21_Pre	8	5	0	0	0	0	0	0	0	0	0	0	0	0	2204	0	0	0	0	6595	0	0	0	0	0	149476	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113243	0	0	0	0	0	0	0
Con_2020-09-14_0_Rep6	R6_J9_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-14_1_Rep6	R6_J24_Pre	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
Inhib_2020-09-14_3_Rep6	R6_J26_Pre	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46819	0	0	0	0	0	0
Inhib_2020-09-14_10_Rep6	R6_J10_Pre	8	6	0	6893	0	0	0	0	0	0	0	200652	0	0	0	0	0	0	0	4187	0	0	0	4032	0	0	0	0	0	0	0	130804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5514	0	0	0	0	0	0
Non_2020-09-14_1_Rep6	R6_J28_Pre	1	1	0	0	0	0	0	127877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-14_3_Rep6	R6_J2_Pre	2	2	0	0	0	0	0	100138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88254	0	0	0	0	0	0	0
Non_2020-09-14_10_Rep6	R6_J6_Pre	8	5	0	0	0	0	0	140165	0	0	0	0	0	2076	9878	0	0	0	0	69601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56166	0	0	0	0	0	0	0
Con_2020-09-19_0_Rep7	R7_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_1_Rep7	R7_J20_Pre	1	2	0	0	0	0	0	29700	0	0	0	2872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_3_Rep7	R7_J10_Pre	2	2	0	0	0	0	0	104429	0	0	0	132215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_10_Rep7	R7_J5_Pre	8	4	0	0	0	0	0	0	0	0	0	30556	0	0	0	0	0	0	0	11514	0	238028	0	0	0	0	0	0	0	0	0	350193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-19_1_Rep7	R7_J26_Pre	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133954	0	0	0	0	0	0	0
Non_2020-09-19_3_Rep7	R7_J8_Pre	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4566	0	0	0	0	0	0	0	0	0	0	0	3187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568085	0	0	0	0	0	0	0
Non_2020-09-19_10_Rep7	R7_J21_Pre	7	7	0	0	0	0	0	1651	0	0	0	202	0	0	1140	319	1712	0	0	7215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4943	0	0	0	0	0	0	0
Con_2020-09-19_0_Rep8	R8_J9_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_1_Rep8	R8_J12_Pre	1	1	0	0	0	0	0	0	0	0	0	162891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_3_Rep8	R8_J25_Pre	3	3	0	0	0	0	0	0	0	0	11706	131816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-19_10_Rep8	R8_J4_Pre	8	4	0	0	0	0	0	0	0	0	7349	7317	0	0	0	0	0	0	0	0	0	123850	0	0	0	0	0	0	0	0	0	264767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-19_1_Rep8	R8_J18_Pre	1	1	0	0	0	0	0	308623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-19_3_Rep8	R8_J7_Pre	3	2	0	0	0	0	0	567062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-19_10_Rep8	R8_J28_Pre	6	2	0	0	0	0	0	83939	0	0	0	0	0	0	0	0	0	0	0	62368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-09-28_0_Rep9	R9_J11_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
