sampleID_qPCR	inhibRich	inhibReads	inhibProp	inhibRichFrac
R2_J2_Bd	0	0	0	0
R2_J20_Pre	3	578213	0.979482488459747	0.6
R2_J25_Bd	2	0.97295975606248	1	1
R2_J28_Pre	2	87307	1	1
R2_J3_Bd	0	0	0	0
R2_J6_Bd	1	0.983673308032891	1	1
R3_J15_Pre	0	0	0	0
R3_J16_Pre	0	0	0	0
R3_J19_Bd	0	0	0	0
R3_J20_Bd	0	0	0	0
R3_J21_Pre	0	0	0	0
R3_J25_Bd	0	0	0	0
R3_J28_Pre	0	0	0	0
R3_J6_Bd	0	0	0	0
R4_J10_Pre	0	0	0	0
R4_J11_Bd	1	0.973695884762924	1	1
R4_J13_Pre	1	8346	1	1
R4_J14_Pre	0	0	0	0
R4_J2_Bd	0	0	0	0
R4_J22_Pre	0	0	0	0
R4_J23_Pre	2	12741	1	1
R4_J26_Pre	3	120383	0.868182113211357	0.75
R4_J27_Pre	0	0	0	0
R4_J3_Bd	2	0.993122306927411	1	1
R4_J5_Bd	0	0	0	0
R4_J8_Bd	0	0	0	0
R4_J9_Bd	0	0	0	0
R5_J1_Bd	1	0.657955898191713	0.665710762524734	0.5
R5_J11_Pre	2	103464	0.471465286258498	0.4
R5_J12_Bd	0	0	0	0
R5_J13_Pre	0	0	0	0
R5_J14_Bd	0	0	0	0
R5_J15_Pre	1	56347	0.749654089723804	0.5
R5_J17_Bd	2	0.292856932283836	0.294419252541419	0.4
R5_J18_Bd	0	0	0	0
R5_J21_Pre	1	149476	0.547074238365028	0.2
R5_J25_Pre	0	0	0	0
R5_J3_Pre	0	0	0	0
R5_J4_Bd	1	0.702095318273233	0.706639678019159	0.25
R5_J5_Pre	0	0	0	0
R5_J8_Bd	0	0	0	0
R6_J10_Pre	4	147243	0.418206554154998	0.666666666666667
R6_J16_Bd	0	0	0	0
R6_J19_Bd	2	0.971894727739183	1	1
R6_J2_Pre	0	0	0	0
R6_J20_Bd	0	0	0	0
R6_J22_Bd	0	0	0	0
R6_J23_Bd	1	0.797124924073699	1	1
R6_J24_Pre	2	102	0.684563758389262	0.666666666666667
R6_J26_Pre	2	69371	1	1
R6_J27_Bd	0	0	0	0
R6_J28_Pre	0	0	0	0
R6_J6_Pre	0	0	0	0
R6_J7_Bd	2	0.4968864717879	0.507865480822679	0.5
R6_J9_Pre	0	0	0	0
R7_J10_Pre	0	0	0	0
R7_J13_Bd	0	0	0	0
R7_J14_Pre	0	0	0	0
R7_J17_Bd	0	0	0	0
R7_J19_Bd	2	0.990938945753529	1	1
R7_J20_Pre	0	0	0	0
R7_J21_Pre	0	0	0	0
R7_J22_Bd	0	0	0	0
R7_J23_Bd	1	0.0663069801661506	0.0676719957450802	0.166666666666667
R7_J26_Pre	1	5427	0.0389364404043593	0.5
R7_J27_Bd	0	0	0	0
R7_J5_Pre	2	588221	0.933253052954905	0.5
R7_J8_Pre	1	3187	0.00553454270124584	0.333333333333333
R8_J1_Bd	0	0	0	0
R8_J11_Bd	0	0	0	0
R8_J12_Pre	0	0	0	0
R8_J16_Bd	2	0.709304493753496	0.710990067286127	0.666666666666667
R8_J18_Pre	0	0	0	0
R8_J2_Bd	0	0	0	0
R8_J24_Bd	3	0.989490173739675	1	1
R8_J25_Pre	2	277237	0.677753249578905	0.666666666666667
R8_J28_Pre	0	0	0	0
R8_J3_Bd	0	0	0	0
R8_J4_Pre	3	395966	0.981856413486311	0.75
R8_J6_Bd	0	0	0	0
R8_J9_Pre	0	0	0	0
R9_J11_Pre	0	0	0	0
R9_J12_Bd	0	0	0	0
R9_J13_Bd	3	0.956284999096797	0.958635140728477	0.6
R9_J14_Bd	0	0	0	0
R9_J15_Bd	0	0	0	0
R9_J17_Pre	0	0	0	0
R9_J19_Pre	0	0	0	0
R9_J2_Pre	0	0	0	0
R9_J20_Bd	0	0	0	0
R9_J26_Bd	0	0	0	0
R9_J28_Pre	0	0	0	0
R9_J7_Bd	1	0.211854792966535	0.213435347153878	0.5
R9_J8_Pre	1	41638	0.172434785129477	0.5
R9_J9_Pre	3	604536	0.950996323662431	0.75
