sampleID_qPCR	ASV_1a536b0e1f97503816f150ed89839a0f	ASV_255429c75a0f47d5a30c6ac429fa7c34	ASV_f13bd5edd93cef613314f42915c99a6f	ASV_14c6f745ca3896169903ea6ea03d48ac	ASV_033fc14444cc93f82f6464968d72c6b2	ASV_dcba105f35d8ebc9e22269c7491ad3a7	ASV_fa0bfc5b671a0016df8fd1840f314bab	ASV_d32e579b3ae7b2aae8d5bf9f027c29af	ASV_5648dccee530d68ceb3e4d7d22cf8756	ASV_945184b6386c192c0066e0a98a154780	ASV_4850a238b7fbbd5ffa204c5a5a396f2c	ASV_205d983fc6a77838d0c5f28ea5485c28	ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	ASV_8b9ede8e4455abbacd8d8d787eb6383d	ASV_3bb0bf5132b0f988573de9bd6059b22c	ASV_63afe8e6aac58bf0d670a82ca5bc574c	ASV_4ea59d33f520370432fb7cb625b56c12	ASV_38c27ceaed634984c1225a82648cf571	ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	ASV_bdf8a26094624622d68509a87fa75ba7	ASV_6a42f6b31b1958a4fd7c015ad7affbf4	ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	ASV_43fddf1528d4a98928fd8c3a8ac23bfd	ASV_213f59ff91f42554a6570145dbeff3da	ASV_5746145cd6809625dd78c312e6605cb4	ASV_ec2d6318d95da4328567972cc10eb066	ASV_bc56a7361c9a3b49f1f1c51874321e12	ASV_fb67b286b0f781b0de13d50179318995	ASV_b65fae1900c461356f7ec33239edf811	ASV_dd18c11c9ae50bd4f90b015e8c78de58	ASV_82dece6e35540738ba450a0c3a90b5a0	ASV_1bc599cac5647c5c30496e93ca551557	obsRich_rawASV	shannon_rawASV	pielou_rawASV
R13_J29_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R2_J19_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R2_J10_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R2_J6_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983673308032891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R2_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R2_J25_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77188389954837	0	0	0.20107585651411	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R2_J28_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67691	0	0	19616	0	0	0	0	0	0	0	0	0	0	0	2	0.532765842796815	0.768618639357995
R2_J18_Bd	0	0	0	0	0	0	0	0.0570267078488372	0	0	0	0	0	0	0	0	0	0.406772347383721	0	0	0	0	0	0	0	0	0	0.518622819767442	0	0	0	0	3	NA	NA
R2_J20_Pre	0	0	0	0	0	6592	0	10825	5520	0	0	0	0	0	0	0	0	278040	0	0	0	0	0	0	0	0	0	289348	0	0	0	0	5	0.871323898517978	0.541383977465894
R2_J2_Bd	0	0	0	0	0	0	0	0	0	0	0.262160348876216	0.12550318685005	0	0	0	0.573884602482388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R2_J12_Pre	0	0	0	0	0	0	0	0	0	0	10687	4437	0	0	0	20426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.939430460219812	0.855106455580176
R2_J11_Bd	0	0	0	0	0	0	0	0	0	0	0.163499088778964	0.0754491017964072	0	0	0	0.351236657120542	0	0	0	0.0486852382192137	0	0	0	0	0	0	0.358005727675085	0	0	0	0	0	5	NA	NA
R2_J13_Pre	0	0	0	0	0	0	0	0	0	0	88722	39173	0	0	0	176972	0	0	0	0	0	0	0	0	0	0	44110	0	0	0	0	0	4	1.19943952179081	0.865212724966914
R2_J3_Bd	0	0	0	0	0	0.48313157663335	0	0	0	0.215112700413284	0	0	0	0.129261072192748	0	0.166485916112202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	NA	NA
R2_J17_Pre	0	0	0	0	0	177165	0	0	0	50579	0	0	0	30072	0	50345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.13790598479602	0.820825660631545
R3_J20_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R3_J16_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R3_J6_Bd	0	0	0	0	0	0	0	0	0	0	0.98522326885741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R3_J28_Pre	0	0	0	0	0	0	0	0	0	0	35123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R3_J25_Bd	0	0	0	0	0	0.449775581921297	0	0	0	0	0.131101910163182	0	0	0	0	0.411815872794962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R3_J15_Pre	0	0	0	0	0	189219	0	0	0	0	53927	0	0	0	0	145787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.992292629567187	0.903223675724747
R3_J19_Bd	0	0	0	0	0	0.425484241870338	0	0	0	0.195318258203367	0.0807217193903122	0	0	0.11819334296412	0	0.176154957398508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	NA	NA
R3_J21_Pre	0	0	0	0	0	157594	0	0	0	72784	32072	0	0	45585	0	59004	0	0	0	0	0	0	0	0	0	0	2101	0	0	0	0	0	6	1.47658278042219	0.824096540736211
R4_J5_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R4_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R4_J11_Bd	0	0	0	0	0	0	0.973695884762924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R4_J13_Pre	0	0	0	0	0	0	8346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R4_J3_Bd	0	0	0	0	0	0	0.717986962766545	0.275135344160866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R4_J23_Pre	0	0	0	0	0	0	10859	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.418719898438188	0.604085120998304
R4_J26_Pre	0	0	5413	0	0	0	56879	4439	18278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52830	822	0	0	0	6	1.26747342674011	0.707390388334982
R4_J9_Bd	0	0	0	0	0	0.919302832244009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0748293391430646	0	0	2	NA	NA
R4_J10_Pre	0	0	0	0	0	108019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3215	0	0	2	0.130908078819293	0.188860436124895
R4_J8_Bd	0	0	0	0	0	0.655179409889282	0	0	0	0	0	0	0	0	0.264912179004116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R4_J22_Pre	0	0	0	0	0	347685	0	0	0	0	0	0	0	0	18686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.201457831993681	0.290642215165525
R4_J2_Bd	0	0	0	0	0	0.48687130710477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446952010376135	0	2	NA	NA
R4_J27_Pre	0	0	0	0	0	89163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113488	0	2	0.685925705942598	0.989581614381648
R5_J12_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R5_J3_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5_J18_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993248973776165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R5_J5_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R5_J1_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330395102318463	0	0.657955898191713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R5_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18817	0	56347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.562714846919925	0.811825919085969
R5_J17_Bd	0	0	0.0237905722119041	0	0	0.58883877244185	0.0389434273753722	0	0.0814539665693818	0	0	0	0	0	0	0.0315438813714218	0	0.23012293269656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	NA	NA
R5_J11_Pre	0	0	3311	0	0	100207	17848	0	14122	0	0	0	0	0	0	1659	0	82305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1.20657699909237	0.673403444945764
R5_J8_Bd	0	0	0	0	0	0	0	0	0.0619052196481784	0	0.268864750552725	0.12150341247717	0	0	0	0.531289051235221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	NA	NA
R5_J25_Pre	0	0	0	0	0	0	0	0	0	0	11961	5052	0	0	0	22118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.949065344227895	0.863876504948332
R5_J14_Bd	0	0	0	0	0	0	0	0	0	0	0.400363320432825	0.0967143195640155	0	0	0	0.481833978358739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R5_J13_Pre	0	0	0	0	0	0	0	0	0	0	1969	0	0	0	0	2759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.679122008090602	0.979765953230866
R5_J4_Bd	0	0	0	0	0	0	0	0	0	0	0.0515410878817642	0	0	0	0	0.0250923717319115	0	0	0	0	0	0.702095318273233	0	0	0	0	0	0	0	0	0.214840278752163	0	4	NA	NA
R5_J21_Pre	0	0	0	0	0	0	0	0	0	0	2204	0	0	0	0	6595	0	0	0	0	0	149476	0	0	0	0	1710	0	0	0	113243	0	5	0.855549152721956	0.531582576819028
R6_J22_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R6_J9_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R6_J23_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.797124924073699	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R6_J24_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	58	0	0	0	0	0	0	0	0	47	0	3	1.09141626712352	0.993449898914465
R6_J19_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187772044622525	0	0	0	0	0	0	0	0	0	0	0	0.784122683116658	2	NA	NA
R6_J26_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22552	0	0	0	0	0	0	0	0	0	0	0	46819	2	0.630648702140516	0.909833755121183
R6_J7_Bd	0	0	0	0	0	0	0	0	0.456696125084976	0	0	0	0	0	0	0.0247994561522774	0	0	0	0	0.0396193065941536	0	0	0	0	0	0	0.457267165193746	0	0	0	0	4	NA	NA
R6_J10_Pre	0	6893	0	0	0	0	0	0	200652	0	0	0	0	0	0	4187	0	0	0	4032	0	0	0	0	0	0	0	130804	0	0	0	5514	6	0.934305476898844	0.521445815102276
R6_J27_Bd	0	0	0	0	0	0.981099221173938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R6_J28_Pre	0	0	0	0	0	127877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R6_J20_Bd	0	0	0	0	0	0.694753174376999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302333681644026	0	2	NA	NA
R6_J2_Pre	0	0	0	0	0	100138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88254	0	2	0.691156237827975	0.997127676793893
R6_J16_Bd	0	0	0	0	0	0.603369750481992	0	0	0	0.0270194752577608	0.0475844533236469	0	0	0.015814915197407	0	0.148676967783397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152029953337618	0	6	NA	NA
R6_J6_Pre	0	0	0	0	0	140165	0	0	0	2076	9878	0	0	0	0	69601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56166	0	5	1.17032469758936	0.727163619390184
R7_J17_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R7_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R7_J20_Pre	0	0	0	0	0	29700	0	0	2872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.298292391567456	0.430344954049277
R7_J13_Bd	0	0	0	0	0	0.534777535386333	0	0	0.445157526254376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R7_J10_Pre	0	0	0	0	0	104429	0	0	132215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.68623789130085	0.990032002649835
R7_J19_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394707193709998	0	0	0	0	0	0	0	0	0	0.596231752043531	0	0	0	0	2	NA	NA
R7_J5_Pre	0	0	0	0	0	0	0	0	30556	0	0	0	0	0	0	11514	0	238028	0	0	0	0	0	0	0	0	0	350193	0	0	0	0	4	0.914125497175059	0.659402160762308
R7_J27_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993548184049852	0	1	NA	NA
R7_J26_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5427	0	0	133954	0	2	0.164549242660568	0.237394376368436
R7_J22_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958637469586375	0	1	NA	NA
R7_J8_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4566	0	0	0	0	0	0	0	0	0	0	0	3187	0	0	568085	0	3	0.0804900098146911	0.073265164284911
R7_J23_Bd	0	0	0	0	0	0	0	0	0	0	0.0933141228043285	0.0389013212347874	0.175316513902088	0	0	0.218325618466632	0	0	0	0.0663069801661506	0	0	0	0	0	0	0	0	0	0	0.387664387970939	0	6	NA	NA
R7_J21_Pre	0	0	0	0	0	1651	0	0	202	0	1140	319	1712	0	0	7215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4943	0	7	1.4839016771432	0.762574612123584
R8_J11_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R8_J9_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
